Date,Boro,Vol
2008-03-24,Brooklyn,3635.0
2008-03-24,Queens,27560.0
2008-03-24,Staten Island,8151.0
2008-03-25,Brooklyn,4574.0
2008-03-25,Queens,36586.0
2008-03-26,Brooklyn,4518.0
2008-03-26,Queens,36684.0
2008-03-27,Brooklyn,4604.0
2008-03-27,Queens,37041.0
2008-03-28,Brooklyn,3996.0
2008-03-28,Queens,38395.0
2008-03-29,Brooklyn,4489.0
2008-03-29,Queens,26198.0
2008-03-30,Brooklyn,3658.0
2008-03-30,Queens,21271.0
2008-03-31,Brooklyn,4741.0
2008-03-31,Queens,26810.0
2008-04-01,Brooklyn,4597.0
2008-04-01,Queens,33499.0
2008-04-02,Brooklyn,3753.0
2008-04-02,Queens,35027.0
2008-04-03,Brooklyn,4515.0
2008-04-03,Queens,37609.0
2008-04-04,Brooklyn,1471.0
2008-04-04,Queens,38156.0
2008-04-05,Brooklyn,0.0
2008-04-05,Queens,26369.0
2008-04-06,Brooklyn,0.0
2008-04-06,Queens,19217.0
2008-04-07,Bronx,16795.0
2008-04-07,Brooklyn,6705.0
2008-04-07,Queens,34424.0
2008-04-08,Bronx,28773.0
2008-04-08,Brooklyn,10547.0
2008-04-08,Queens,15270.0
2008-04-09,Bronx,28476.0
2008-04-09,Brooklyn,12288.0
2008-04-09,Queens,7405.0
2008-04-10,Bronx,30624.0
2008-04-10,Brooklyn,11632.0
2008-04-10,Queens,7690.0
2008-04-11,Bronx,32914.0
2008-04-11,Brooklyn,11437.0
2008-04-11,Queens,7875.0
2008-04-12,Bronx,26788.0
2008-04-12,Brooklyn,11251.0
2008-04-12,Queens,3759.0
2008-04-13,Bronx,14314.0
2008-04-13,Brooklyn,7743.0
2008-04-13,Queens,1808.0
2008-04-14,Bronx,25079.0
2008-04-14,Brooklyn,12655.0
2008-04-14,Queens,6971.0
2008-04-15,Bronx,29672.0
2008-04-15,Brooklyn,2224.0
2008-04-15,Queens,7757.0
2008-04-16,Bronx,29773.0
2008-04-16,Brooklyn,14082.0
2008-04-16,Queens,6784.0
2008-04-17,Bronx,31250.0
2008-04-17,Brooklyn,15182.0
2008-04-17,Queens,7173.0
2008-04-18,Bronx,36071.0
2008-04-18,Brooklyn,11807.0
2008-04-18,Queens,7383.0
2008-04-19,Bronx,29938.0
2008-04-19,Brooklyn,9488.0
2008-04-19,Queens,3714.0
2008-04-20,Bronx,22030.0
2008-04-20,Brooklyn,6752.0
2008-04-20,Queens,1788.0
2008-04-21,Bronx,42785.0
2008-04-21,Brooklyn,660.0
2008-04-21,Queens,2245.0
2008-04-22,Bronx,41015.0
2008-04-22,Brooklyn,11198.0
2008-04-23,Bronx,28928.0
2008-04-23,Brooklyn,23893.0
2008-04-24,Bronx,24774.0
2008-04-24,Brooklyn,28218.0
2008-04-25,Bronx,58334.0
2008-04-25,Brooklyn,20110.0
2008-04-26,Bronx,151808.0
2008-04-26,Brooklyn,9174.0
2008-04-27,Bronx,147792.0
2008-04-27,Brooklyn,6386.0
2008-04-28,Bronx,170217.0
2008-04-28,Brooklyn,10894.0
2008-04-29,Bronx,183259.0
2008-04-29,Brooklyn,12623.0
2008-04-30,Bronx,185659.0
2008-04-30,Brooklyn,11237.0
2008-05-01,Bronx,190654.0
2008-05-01,Brooklyn,13815.0
2008-05-02,Bronx,192020.0
2008-05-02,Brooklyn,13896.0
2008-05-03,Bronx,257638.0
2008-05-03,Brooklyn,1266.0
2008-05-04,Bronx,240101.0
2008-05-05,Bronx,262320.0
2008-05-06,Bronx,266381.0
2008-05-07,Bronx,260082.0
2008-05-08,Bronx,268063.0
2008-05-09,Bronx,231715.0
2008-05-10,Bronx,152095.0
2008-05-11,Bronx,135144.0
2008-05-12,Bronx,120489.0
2008-05-13,Bronx,100435.0
2008-05-14,Bronx,92759.0
2008-05-15,Bronx,36442.0
2008-05-16,Bronx,52480.0
2008-05-17,Bronx,61816.0
2008-05-17,Queens,39578.0
2008-05-18,Bronx,58457.0
2008-05-18,Queens,53455.0
2008-05-19,Bronx,31154.0
2008-05-19,Queens,57421.0
2008-05-20,Bronx,18372.0
2008-05-20,Queens,53423.0
2008-05-21,Bronx,5269.0
2008-05-21,Queens,56632.0
2008-05-22,Queens,46452.0
2008-05-23,Queens,59071.0
2008-05-24,Queens,56229.0
2008-05-25,Queens,52380.0
2008-05-26,Queens,48858.0
2008-05-27,Queens,22031.0
2008-05-28,Queens,24899.0
2008-05-29,Brooklyn,42788.0
2008-05-29,Queens,25862.0
2008-05-30,Brooklyn,77346.0
2008-05-30,Queens,26702.0
2008-05-31,Brooklyn,70344.0
2008-05-31,Queens,21734.0
2008-06-01,Brooklyn,72561.0
2008-06-01,Queens,23995.0
2008-06-02,Brooklyn,72870.0
2008-06-02,Queens,25378.0
2008-06-03,Brooklyn,72186.0
2008-06-03,Queens,25801.0
2008-06-04,Brooklyn,70977.0
2008-06-04,Queens,19475.0
2008-06-05,Brooklyn,75003.0
2008-06-05,Queens,0.0
2008-06-06,Brooklyn,73202.0
2008-06-06,Queens,33782.0
2008-06-07,Bronx,102333.0
2008-06-07,Brooklyn,72923.0
2008-06-07,Queens,58349.0
2008-06-08,Bronx,119935.0
2008-06-08,Brooklyn,71036.0
2008-06-08,Queens,52551.0
2008-06-09,Bronx,117127.0
2008-06-09,Brooklyn,67320.0
2008-06-09,Queens,55264.0
2008-06-10,Bronx,115295.0
2008-06-10,Brooklyn,67471.0
2008-06-10,Queens,55176.0
2008-06-11,Bronx,115790.0
2008-06-11,Brooklyn,73261.0
2008-06-11,Queens,57495.0
2008-06-12,Bronx,112722.0
2008-06-12,Brooklyn,74090.0
2008-06-12,Queens,58106.0
2008-06-13,Bronx,60013.0
2008-06-13,Brooklyn,76859.0
2008-06-13,Queens,57786.0
2008-06-14,Bronx,15881.0
2008-06-14,Brooklyn,88998.0
2008-06-14,Queens,45765.0
2008-06-15,Bronx,0.0
2008-06-15,Brooklyn,91895.0
2008-06-15,Queens,4668.0
2008-06-16,Bronx,0.0
2008-06-16,Brooklyn,100027.0
2008-06-16,Queens,2213.0
2008-06-17,Bronx,0.0
2008-06-17,Brooklyn,44556.0
2008-06-18,Bronx,0.0
2008-06-18,Brooklyn,31826.0
2008-06-19,Bronx,0.0
2008-06-19,Brooklyn,31589.0
2008-06-20,Bronx,0.0
2008-06-20,Brooklyn,33856.0
2008-06-21,Bronx,107041.0
2008-06-21,Brooklyn,2685.0
2008-06-22,Bronx,119969.0
2008-06-23,Bronx,84979.0
2008-06-23,Brooklyn,11261.0
2008-06-24,Bronx,59923.0
2008-06-24,Brooklyn,27755.0
2008-06-25,Bronx,61094.0
2008-06-25,Brooklyn,21914.0
2008-06-26,Bronx,62111.0
2008-06-26,Brooklyn,19075.0
2008-06-27,Bronx,56674.0
2008-06-27,Brooklyn,2132.0
2008-06-28,Bronx,65667.0
2008-06-29,Bronx,63235.0
2008-06-30,Bronx,14568.0
2008-07-19,Manhattan,3512.0
2008-07-20,Manhattan,3686.0
2008-07-21,Manhattan,5618.0
2008-07-22,Manhattan,5691.0
2008-07-23,Manhattan,5663.0
2008-07-24,Manhattan,5870.0
2008-07-25,Manhattan,5407.0
2008-07-26,Manhattan,4263.0
2008-07-27,Manhattan,3917.0
2008-07-28,Manhattan,5220.0
2008-07-29,Manhattan,5344.0
2008-07-30,Manhattan,5235.0
2008-07-31,Manhattan,5375.0
2008-08-01,Manhattan,5676.0
2008-08-02,Manhattan,60177.0
2008-08-03,Manhattan,61251.0
2008-08-04,Manhattan,64810.0
2008-08-05,Manhattan,67440.0
2008-08-06,Manhattan,61615.0
2008-08-07,Manhattan,59788.0
2008-08-08,Manhattan,48958.0
2008-08-09,Manhattan,62864.0
2008-08-10,Manhattan,69784.0
2008-08-11,Manhattan,76222.0
2008-08-12,Manhattan,79946.0
2008-08-13,Manhattan,79205.0
2008-08-14,Manhattan,76769.0
2008-08-15,Manhattan,71682.0
2008-08-16,Manhattan,41359.0
2008-08-17,Manhattan,35901.0
2008-08-18,Manhattan,9993.0
2008-09-08,Brooklyn,5323.0
2008-09-09,Brooklyn,6817.0
2008-09-10,Brooklyn,6968.0
2008-09-11,Brooklyn,6913.0
2008-09-12,Brooklyn,7002.0
2008-09-13,Brooklyn,5897.0
2008-09-14,Brooklyn,4773.0
2008-09-15,Brooklyn,6605.0
2008-09-16,Brooklyn,2110.0
2009-01-08,Manhattan,748.0
2009-01-09,Manhattan,34125.0
2009-01-10,Manhattan,25919.0
2009-01-11,Manhattan,22951.0
2009-01-12,Brooklyn,4817.0
2009-01-12,Manhattan,16359.0
2009-01-12,Queens,320.0
